home_ownership,annual_inc,loan_amount,loan_condition
MORTGAGE,70000,15000,Good Loan
RENT,62502,6400,Good Loan
RENT,50620,14125,Good Loan
MORTGAGE,115000,4000,Good Loan
MORTGAGE,120000,35000,Good Loan
MORTGAGE,75000,14950,Good Loan
RENT,53000,16000,Good Loan
MORTGAGE,60000,2500,Good Loan
RENT,40000,12000,Good Loan
MORTGAGE,73000,15000,Good Loan
OWN,56000,1000,Good Loan
MORTGAGE,110000,1200,Good Loan
RENT,45000,16000,Good Loan
OWN,40452,4000,Good Loan
MORTGAGE,70000,9450,Good Loan
OWN,43200,17000,Good Loan
RENT,67816,13600,Good Loan
MORTGAGE,26453,7200,Bad Loan
RENT,40000,17475,Good Loan
MORTGAGE,75000,16000,Good Loan
MORTGAGE,75000,15000,Good Loan
RENT,55200,12000,Good Loan
MORTGAGE,98500,35000,Good Loan
MORTGAGE,36800,12400,Good Loan
OWN,61440,2500,Good Loan
RENT,41196,7200,Good Loan
MORTGAGE,64400,12000,Good Loan
RENT,50000,6000,Good Loan
RENT,33200,10000,Good Loan
MORTGAGE,95000,15000,Bad Loan
RENT,82500,20000,Good Loan
MORTGAGE,87000,4000,Good Loan
MORTGAGE,100000,14400,Good Loan
RENT,39000,12800,Bad Loan
RENT,45000,12800,Good Loan
RENT,34200,12000,Bad Loan
MORTGAGE,51000,10625,Bad Loan
RENT,60000,7500,Bad Loan
MORTGAGE,64500,14750,Good Loan
RENT,95950,17500,Good Loan
MORTGAGE,88000,16000,Good Loan
RENT,26000,6700,Good Loan
RENT,24000,7000,Good Loan
MORTGAGE,30000,6625,Good Loan
MORTGAGE,25000,12000,Bad Loan
RENT,48226,7000,Good Loan
MORTGAGE,65000,7000,Good Loan
MORTGAGE,100500,35000,Good Loan
RENT,38000,1000,Good Loan
MORTGAGE,34320,16000,Good Loan
RENT,52000,10000,Good Loan
MORTGAGE,50000,10500,Good Loan
MORTGAGE,80000,25000,Good Loan
MORTGAGE,55000,3100,Good Loan
MORTGAGE,39600,25000,Good Loan
OWN,48000,2500,Good Loan
RENT,70000,9000,Good Loan
RENT,26000,1600,Good Loan
RENT,115000,10800,Good Loan
OWN,75000,20000,Good Loan
MORTGAGE,98000,8000,Good Loan
RENT,37000,12000,Good Loan
MORTGAGE,40000,5000,Good Loan
MORTGAGE,63000,6000,Good Loan
MORTGAGE,40000,8600,Good Loan
RENT,29000,9450,Good Loan
RENT,36850,5200,Good Loan
MORTGAGE,120000,6000,Good Loan
RENT,30000,2800,Good Loan
MORTGAGE,53208,8500,Good Loan
MORTGAGE,98000,27000,Bad Loan
RENT,38400,3200,Good Loan
MORTGAGE,40800,17050,Good Loan
RENT,65000,18000,Good Loan
RENT,40000,6200,Good Loan
MORTGAGE,50000,8000,Good Loan
MORTGAGE,47000,12000,Good Loan
MORTGAGE,45000,20000,Good Loan
RENT,22800,3000,Good Loan
MORTGAGE,80000,10000,Bad Loan
RENT,30188,8000,Good Loan
MORTGAGE,103000,14000,Good Loan
RENT,57000,22000,Good Loan
RENT,85000,16000,Good Loan
MORTGAGE,64800,4500,Good Loan
MORTGAGE,70000,8000,Good Loan
RENT,106300,5000,Good Loan
MORTGAGE,31200,15000,Good Loan
MORTGAGE,98000,35000,Good Loan
RENT,35000,16000,Good Loan
OWN,94104,14400,Good Loan
OWN,277000,35000,Good Loan
MORTGAGE,65000,17000,Good Loan
MORTGAGE,64000,15000,Good Loan
RENT,36000,5600,Good Loan
RENT,54000,9000,Good Loan
MORTGAGE,48000,9000,Good Loan
RENT,42000,8800,Good Loan
RENT,45000,8000,Good Loan
RENT,38000,10000,Good Loan
MORTGAGE,39996,12000,Bad Loan
MORTGAGE,36000,5000,Good Loan
RENT,74999,16000,Good Loan
OWN,69600,1925,Good Loan
RENT,80856,20000,Good Loan
MORTGAGE,78000,4200,Good Loan
MORTGAGE,65004,15000,Good Loan
RENT,45000,5200,Good Loan
RENT,110000,16000,Good Loan
RENT,15000,2700,Good Loan
MORTGAGE,40000,4500,Bad Loan
MORTGAGE,40000,2100,Good Loan
MORTGAGE,70000,1000,Good Loan
OWN,55000,4000,Good Loan
MORTGAGE,42000,13000,Good Loan
MORTGAGE,140000,28000,Good Loan
MORTGAGE,51000,22400,Good Loan
MORTGAGE,150000,16000,Good Loan
MORTGAGE,125000,30500,Good Loan
MORTGAGE,43200,3000,Good Loan
RENT,220000,30000,Good Loan
MORTGAGE,85000,20000,Good Loan
MORTGAGE,42000,4900,Good Loan
MORTGAGE,75000,12000,Bad Loan
RENT,120000,20000,Good Loan
RENT,39000,7000,Good Loan
RENT,52000,3600,Good Loan
RENT,42996,13200,Good Loan
RENT,20400,6000,Good Loan
MORTGAGE,408000,35000,Good Loan
RENT,37440,7000,Good Loan
MORTGAGE,160000,35000,Good Loan
MORTGAGE,75000,21600,Good Loan
RENT,39000,7000,Bad Loan
OWN,45000,10500,Bad Loan
RENT,66000,15575,Good Loan
MORTGAGE,108000,14000,Good Loan
RENT,35500,16000,Good Loan
RENT,42000,3000,Good Loan
RENT,35000,7200,Bad Loan
RENT,38000,3200,Good Loan
OWN,150000,30000,Good Loan
MORTGAGE,70000,15600,Good Loan
MORTGAGE,51600,5600,Bad Loan
RENT,37000,3000,Good Loan
OWN,55000,18000,Good Loan
RENT,30000,7200,Good Loan
MORTGAGE,120000,16000,Good Loan
MORTGAGE,39192,3000,Bad Loan
MORTGAGE,65000,24000,Good Loan
OWN,50000,6000,Good Loan
MORTGAGE,45000,15000,Good Loan
MORTGAGE,162480,25000,Good Loan
MORTGAGE,60000,10000,Good Loan
MORTGAGE,36000,15000,Good Loan
MORTGAGE,97008,5000,Good Loan
RENT,89028,30000,Good Loan
RENT,22000,5000,Good Loan
RENT,120000,7500,Good Loan
MORTGAGE,64620,35000,Good Loan
MORTGAGE,75000,16800,Good Loan
MORTGAGE,97936,35000,Bad Loan
MORTGAGE,58000,1800,Good Loan
RENT,63336,16000,Good Loan
RENT,90000,3000,Good Loan
MORTGAGE,40000,5000,Good Loan
MORTGAGE,64480,24000,Bad Loan
RENT,25000,13000,Good Loan
MORTGAGE,30000,4000,Good Loan
RENT,150000,25000,Good Loan
MORTGAGE,85000,15000,Good Loan
RENT,120000,35000,Good Loan
MORTGAGE,56000,10000,Good Loan
RENT,73000,10000,Good Loan
RENT,45000,14400,Good Loan
RENT,108600,35000,Bad Loan
RENT,12000,6075,Bad Loan
RENT,62400,8000,Good Loan
RENT,57000,20000,Good Loan
MORTGAGE,125000,35000,Good Loan
RENT,48000,17400,Bad Loan
RENT,32000,16000,Good Loan
RENT,53616,1600,Good Loan
MORTGAGE,50400,12800,Good Loan
MORTGAGE,70000,7750,Good Loan
OWN,49989,18000,Bad Loan
MORTGAGE,95000,5700,Good Loan
RENT,52000,12000,Good Loan
RENT,31200,6000,Good Loan
MORTGAGE,130000,3000,Good Loan
MORTGAGE,36000,5600,Good Loan
RENT,33000,8000,Bad Loan
MORTGAGE,100000,30000,Good Loan
MORTGAGE,85000,20000,Good Loan
MORTGAGE,60000,10000,Good Loan
MORTGAGE,50400,24000,Good Loan
MORTGAGE,95000,10800,Bad Loan
MORTGAGE,90000,17600,Bad Loan
RENT,53000,5100,Good Loan
MORTGAGE,77000,6000,Good Loan
MORTGAGE,55000,1400,Good Loan
MORTGAGE,74500,8000,Good Loan
MORTGAGE,40000,7500,Good Loan
RENT,28800,3175,Good Loan
MORTGAGE,96720,18000,Good Loan
RENT,99275,10000,Good Loan
RENT,73000,7000,Good Loan
MORTGAGE,50000,20000,Bad Loan
MORTGAGE,85000,20500,Good Loan
MORTGAGE,39000,14800,Good Loan
MORTGAGE,135000,30000,Bad Loan
MORTGAGE,66000,3000,Good Loan
MORTGAGE,51000,5800,Good Loan
MORTGAGE,52500,4000,Good Loan
MORTGAGE,40000,6000,Good Loan
RENT,77000,32275,Good Loan
RENT,162000,35000,Bad Loan
MORTGAGE,50004,7800,Good Loan
OWN,27600,6000,Good Loan
MORTGAGE,60000,6300,Bad Loan
MORTGAGE,60000,18000,Bad Loan
RENT,36400,5000,Good Loan
OWN,72000,16000,Bad Loan
RENT,24000,5000,Good Loan
RENT,62200,12000,Good Loan
RENT,50000,12000,Bad Loan
MORTGAGE,76800,30000,Good Loan
RENT,41000,1300,Good Loan
MORTGAGE,84000,16000,Good Loan
MORTGAGE,96000,11250,Good Loan
RENT,52800,7000,Good Loan
MORTGAGE,52000,5000,Good Loan
RENT,64000,8000,Good Loan
RENT,38400,12000,Good Loan
RENT,48000,4000,Good Loan
MORTGAGE,130000,7000,Good Loan
MORTGAGE,70920,7600,Good Loan
MORTGAGE,93000,20000,Good Loan
RENT,48132,10000,Good Loan
OWN,42000,8000,Good Loan
MORTGAGE,60000,12000,Good Loan
MORTGAGE,33000,16500,Bad Loan
OWN,15000,4475,Good Loan
RENT,17000,5750,Good Loan
RENT,75000,14600,Good Loan
RENT,75000,11200,Good Loan
MORTGAGE,77000,4900,Good Loan
MORTGAGE,127500,10000,Good Loan
RENT,143000,16000,Good Loan
MORTGAGE,68400,25200,Good Loan
RENT,90000,18650,Bad Loan
MORTGAGE,64000,12000,Good Loan
MORTGAGE,90000,3600,Good Loan
OWN,48000,15600,Good Loan
RENT,60000,15000,Good Loan
MORTGAGE,88900,19200,Good Loan
RENT,60000,9600,Good Loan
MORTGAGE,83625,13200,Good Loan
OWN,50000,16000,Good Loan
RENT,60000,12000,Bad Loan
MORTGAGE,93000,12000,Bad Loan
MORTGAGE,75000,4000,Good Loan
RENT,40000,5000,Bad Loan
RENT,102500,30000,Bad Loan
MORTGAGE,146000,35000,Good Loan
MORTGAGE,46000,5000,Good Loan
RENT,60000,6000,Good Loan
RENT,40000,5700,Good Loan
RENT,70000,5000,Good Loan
MORTGAGE,45948,23000,Bad Loan
MORTGAGE,80600,12000,Good Loan
RENT,79000,25000,Good Loan
RENT,57600,6000,Good Loan
RENT,60000,10000,Good Loan
MORTGAGE,150000,7500,Good Loan
MORTGAGE,74346,7000,Good Loan
RENT,40992,10000,Good Loan
MORTGAGE,52000,20000,Good Loan
MORTGAGE,145000,9600,Good Loan
OWN,58000,20000,Good Loan
RENT,47000,6550,Good Loan
OWN,53000,2500,Good Loan
MORTGAGE,56004,12000,Good Loan
RENT,13200,2500,Bad Loan
MORTGAGE,110000,30400,Good Loan
OWN,59500,11300,Good Loan
RENT,27840,8575,Bad Loan
RENT,42494,16000,Bad Loan
RENT,33600,13000,Good Loan
RENT,60353,8500,Good Loan
RENT,40000,6000,Good Loan
RENT,65000,8800,Good Loan
MORTGAGE,102000,25000,Good Loan
MORTGAGE,32469,6000,Good Loan
RENT,95000,12000,Good Loan
RENT,60000,9600,Good Loan
OWN,35000,8300,Good Loan
RENT,33900,5500,Good Loan
MORTGAGE,95000,35000,Good Loan
RENT,40000,3000,Good Loan
RENT,50000,2500,Good Loan
MORTGAGE,64000,12000,Good Loan
RENT,149000,7200,Good Loan
MORTGAGE,50000,2000,Good Loan
MORTGAGE,70000,22000,Good Loan
RENT,28800,14000,Good Loan
RENT,57000,7500,Good Loan
RENT,82000,6000,Good Loan
RENT,55000,15000,Bad Loan
RENT,55000,22900,Bad Loan
MORTGAGE,50000,3500,Good Loan
OWN,70000,35000,Good Loan
OWN,12000,1950,Good Loan
MORTGAGE,50000,12000,Good Loan
OWN,35000,5000,Good Loan
RENT,55000,6250,Good Loan
MORTGAGE,48000,15000,Good Loan
MORTGAGE,173156,30000,Good Loan
MORTGAGE,60000,7000,Good Loan
MORTGAGE,50000,2600,Good Loan
MORTGAGE,150000,14000,Good Loan
MORTGAGE,192000,15000,Good Loan
MORTGAGE,90000,14300,Good Loan
OWN,52000,15600,Good Loan
MORTGAGE,45000,19000,Good Loan
MORTGAGE,126000,6000,Bad Loan
RENT,31200,3000,Good Loan
RENT,34000,3500,Good Loan
RENT,15600,2250,Good Loan
MORTGAGE,70000,8400,Good Loan
RENT,36000,5000,Good Loan
MORTGAGE,46000,16000,Good Loan
MORTGAGE,100500,27575,Good Loan
RENT,150000,14000,Bad Loan
MORTGAGE,191000,35000,Bad Loan
OWN,69996,30000,Good Loan
MORTGAGE,72000,5000,Good Loan
MORTGAGE,153000,7500,Good Loan
RENT,10000,3000,Good Loan
MORTGAGE,70000,9000,Good Loan
RENT,48000,24000,Good Loan
MORTGAGE,60000,13000,Good Loan
RENT,36000,5500,Good Loan
RENT,30000,3500,Bad Loan
MORTGAGE,131000,35000,Good Loan
RENT,95000,24000,Good Loan
RENT,150000,21000,Bad Loan
MORTGAGE,75000,13200,Bad Loan
MORTGAGE,130000,30000,Good Loan
RENT,73200,12000,Good Loan
RENT,50794,5000,Good Loan
RENT,54000,6850,Bad Loan
MORTGAGE,60000,12000,Good Loan
RENT,75000,15000,Good Loan
RENT,75000,20000,Bad Loan
RENT,50000,5000,Bad Loan
MORTGAGE,150000,35000,Good Loan
MORTGAGE,48000,1500,Good Loan
MORTGAGE,60000,12000,Bad Loan
RENT,51000,21000,Bad Loan
MORTGAGE,100000,6000,Good Loan
MORTGAGE,97500,35000,Bad Loan
MORTGAGE,60000,12400,Good Loan
MORTGAGE,110000,30000,Good Loan
MORTGAGE,90216,1200,Bad Loan
OWN,47000,7000,Good Loan
RENT,70000,5600,Good Loan
MORTGAGE,80000,4200,Good Loan
OWN,35000,7000,Good Loan
MORTGAGE,120000,25000,Good Loan
MORTGAGE,80000,8500,Good Loan
MORTGAGE,67000,3000,Good Loan
RENT,15120,1600,Good Loan
MORTGAGE,75000,35000,Bad Loan
RENT,11000,3400,Good Loan
RENT,31000,10000,Bad Loan
MORTGAGE,66000,10000,Good Loan
MORTGAGE,50000,3500,Bad Loan
RENT,62000,24000,Bad Loan
RENT,95000,35000,Good Loan
RENT,60000,14000,Good Loan
MORTGAGE,65196,9600,Good Loan
RENT,40000,15000,Good Loan
MORTGAGE,91000,1000,Good Loan
MORTGAGE,94000,4000,Good Loan
OWN,63440,20000,Good Loan
MORTGAGE,90000,14000,Good Loan
MORTGAGE,400000,15000,Good Loan
MORTGAGE,63240,20000,Bad Loan
RENT,31200,15000,Good Loan
RENT,73000,23000,Good Loan
MORTGAGE,34600,6800,Good Loan
MORTGAGE,115000,30000,Good Loan
RENT,42000,26375,Good Loan
RENT,80000,6400,Good Loan
RENT,90000,10200,Good Loan
MORTGAGE,125000,30000,Good Loan
MORTGAGE,60000,12000,Good Loan
MORTGAGE,100000,12000,Good Loan
MORTGAGE,70000,15000,Good Loan
RENT,136000,15000,Good Loan
RENT,65000,8000,Good Loan
MORTGAGE,80000,19000,Good Loan
MORTGAGE,31200,9250,Good Loan
MORTGAGE,68000,35000,Good Loan
MORTGAGE,180396,18000,Good Loan
RENT,37000,4600,Good Loan
MORTGAGE,40000,5400,Good Loan
MORTGAGE,60000,14400,Bad Loan
RENT,56004,3000,Good Loan
RENT,36000,1450,Good Loan
RENT,24000,12000,Bad Loan
RENT,80000,7200,Good Loan
RENT,38400,6000,Good Loan
MORTGAGE,90000,12000,Good Loan
MORTGAGE,76800,6000,Good Loan
MORTGAGE,82000,8000,Good Loan
MORTGAGE,48000,12600,Good Loan
RENT,70500,35000,Good Loan
RENT,130000,8400,Good Loan
MORTGAGE,57000,11425,Good Loan
MORTGAGE,52000,20000,Good Loan
MORTGAGE,80000,16000,Good Loan
MORTGAGE,76320,24000,Good Loan
RENT,40800,2700,Bad Loan
MORTGAGE,112000,20400,Good Loan
RENT,56000,3000,Good Loan
RENT,145000,35000,Good Loan
RENT,30000,6000,Good Loan
RENT,31000,6000,Good Loan
RENT,36000,3000,Good Loan
RENT,26785,9000,Good Loan
MORTGAGE,95000,15000,Good Loan
RENT,24960,5000,Good Loan
RENT,60000,8000,Good Loan
MORTGAGE,56000,7200,Good Loan
RENT,121000,20000,Good Loan
MORTGAGE,109200,2300,Good Loan
MORTGAGE,50000,14400,Good Loan
MORTGAGE,120000,35000,Good Loan
RENT,15000,4375,Good Loan
RENT,48529,10000,Good Loan
MORTGAGE,134000,5600,Good Loan
MORTGAGE,72000,5000,Good Loan
RENT,110000,6000,Good Loan
RENT,55000,8000,Good Loan
MORTGAGE,116000,12000,Bad Loan
MORTGAGE,70000,5000,Good Loan
MORTGAGE,280000,35000,Good Loan
RENT,45000,2800,Good Loan
MORTGAGE,106000,15000,Good Loan
MORTGAGE,21000,3500,Good Loan
MORTGAGE,80000,20000,Good Loan
MORTGAGE,90000,14000,Bad Loan
RENT,85000,11200,Good Loan
MORTGAGE,116000,20000,Good Loan
MORTGAGE,76000,14000,Good Loan
RENT,21624,6000,Bad Loan
MORTGAGE,60000,4000,Good Loan
MORTGAGE,117961,24925,Good Loan
RENT,120000,5000,Good Loan
MORTGAGE,75000,3500,Good Loan
RENT,98450,2700,Good Loan
RENT,47712,12800,Bad Loan
RENT,34008,14400,Good Loan
RENT,54000,7800,Good Loan
MORTGAGE,53500,10000,Good Loan
RENT,121440,5600,Good Loan
RENT,37517,5000,Bad Loan
MORTGAGE,120000,35000,Good Loan
RENT,60000,3200,Good Loan
MORTGAGE,93000,12000,Good Loan
MORTGAGE,172000,20000,Good Loan
RENT,24000,5000,Good Loan
RENT,28800,5500,Good Loan
RENT,80000,12000,Good Loan
RENT,75000,7000,Good Loan
RENT,42000,2000,Good Loan
MORTGAGE,160000,35000,Good Loan
RENT,106000,35000,Good Loan
RENT,80000,30750,Bad Loan
MORTGAGE,118392,12000,Good Loan
RENT,32000,5325,Good Loan
MORTGAGE,122400,6800,Good Loan
MORTGAGE,35004,8400,Good Loan
RENT,110000,13000,Good Loan
OWN,34056,1500,Good Loan
MORTGAGE,72000,30000,Good Loan
MORTGAGE,37440,16950,Bad Loan
MORTGAGE,64800,6625,Good Loan
RENT,32712,8000,Bad Loan
RENT,37000,10000,Good Loan
RENT,38000,19000,Good Loan
RENT,48000,5000,Good Loan
RENT,70000,35000,Good Loan
RENT,59700,29850,Good Loan
MORTGAGE,75600,10675,Good Loan
MORTGAGE,37008,6650,Good Loan
RENT,37076,12000,Good Loan
MORTGAGE,45000,4150,Good Loan
MORTGAGE,57600,13650,Bad Loan
MORTGAGE,105000,5000,Good Loan
RENT,68962,15000,Bad Loan
RENT,45000,7200,Bad Loan
MORTGAGE,85000,24000,Good Loan
MORTGAGE,20000,6400,Good Loan
MORTGAGE,84000,8000,Good Loan
MORTGAGE,72800,10600,Bad Loan
RENT,40000,7000,Bad Loan
MORTGAGE,35000,7500,Good Loan
RENT,30000,6000,Good Loan
RENT,30000,10775,Good Loan
RENT,80000,10000,Good Loan
RENT,30000,2400,Good Loan
RENT,43500,6600,Good Loan
MORTGAGE,83000,7500,Good Loan
RENT,80000,30000,Good Loan
MORTGAGE,115500,3200,Good Loan
RENT,35000,8000,Good Loan
RENT,38000,5000,Bad Loan
MORTGAGE,267000,21000,Good Loan
MORTGAGE,34000,15000,Good Loan
RENT,27000,13500,Good Loan
OWN,37000,5000,Good Loan
MORTGAGE,79000,20000,Good Loan
RENT,49000,7500,Good Loan
MORTGAGE,60000,14125,Good Loan
MORTGAGE,120000,20000,Good Loan
MORTGAGE,67000,25000,Good Loan
RENT,45000,17325,Good Loan
MORTGAGE,45780,14125,Good Loan
MORTGAGE,85000,7000,Good Loan
MORTGAGE,150000,14000,Good Loan
MORTGAGE,56000,12250,Good Loan
MORTGAGE,55000,5200,Good Loan
MORTGAGE,70000,35000,Good Loan
MORTGAGE,38000,7000,Good Loan
MORTGAGE,58000,18225,Bad Loan
OWN,34440,12000,Bad Loan
RENT,43000,10000,Good Loan
MORTGAGE,22800,2000,Good Loan
RENT,211000,17400,Good Loan
MORTGAGE,62400,6000,Good Loan
MORTGAGE,39600,5600,Good Loan
MORTGAGE,88000,6000,Good Loan
RENT,108000,32000,Good Loan
RENT,72600,6000,Good Loan
RENT,15000,6000,Good Loan
MORTGAGE,156000,25000,Good Loan
MORTGAGE,66000,20000,Bad Loan
MORTGAGE,85000,5000,Good Loan
MORTGAGE,80000,7000,Good Loan
RENT,34992,5000,Good Loan
RENT,44400,15000,Bad Loan
MORTGAGE,63200,27250,Good Loan
MORTGAGE,65000,12000,Good Loan
MORTGAGE,47580,4000,Good Loan
MORTGAGE,66000,24000,Bad Loan
RENT,135000,14400,Good Loan
RENT,29500,6550,Good Loan
MORTGAGE,60000,7000,Good Loan
MORTGAGE,106320,12000,Good Loan
RENT,40000,7500,Good Loan
MORTGAGE,28000,6250,Bad Loan
RENT,47000,3000,Good Loan
RENT,24000,2500,Good Loan
RENT,71000,3000,Good Loan
RENT,38400,6200,Good Loan
MORTGAGE,70000,4800,Bad Loan
RENT,52000,26000,Bad Loan
RENT,75000,3700,Good Loan
RENT,47000,15000,Good Loan
MORTGAGE,120000,12000,Good Loan
RENT,20400,1200,Good Loan
MORTGAGE,58000,15000,Bad Loan
MORTGAGE,50000,6000,Good Loan
RENT,46000,3000,Good Loan
RENT,14400,1600,Good Loan
MORTGAGE,59000,6000,Good Loan
MORTGAGE,101657,20000,Bad Loan
MORTGAGE,73000,25000,Bad Loan
OWN,23000,6450,Good Loan
MORTGAGE,130000,3000,Good Loan
RENT,64000,6600,Good Loan
MORTGAGE,160000,14400,Good Loan
RENT,30000,5200,Good Loan
RENT,62000,7000,Good Loan
RENT,60000,12000,Good Loan
MORTGAGE,54000,20000,Bad Loan
RENT,40000,12000,Good Loan
MORTGAGE,75000,7200,Good Loan
RENT,41658,25000,Good Loan
RENT,100000,15000,Good Loan
RENT,75000,14300,Bad Loan
RENT,30000,10000,Good Loan
RENT,52800,6000,Good Loan
MORTGAGE,80000,20000,Bad Loan
OWN,31200,15000,Good Loan
MORTGAGE,67000,29000,Good Loan
MORTGAGE,41000,20800,Good Loan
MORTGAGE,78000,10000,Bad Loan
RENT,55200,3500,Good Loan
RENT,45000,3600,Good Loan
RENT,41000,15000,Good Loan
RENT,51000,16000,Good Loan
MORTGAGE,131000,30000,Good Loan
RENT,60000,13575,Bad Loan
OWN,70000,10000,Good Loan
RENT,67000,35000,Good Loan
OWN,57000,20000,Good Loan
MORTGAGE,180000,12500,Good Loan
MORTGAGE,270000,35000,Good Loan
RENT,102240,5000,Good Loan
RENT,65000,10000,Good Loan
RENT,47000,3600,Good Loan
RENT,30000,10000,Bad Loan
MORTGAGE,55684,5200,Good Loan
MORTGAGE,45000,18000,Bad Loan
RENT,70560,9600,Good Loan
RENT,49000,15000,Good Loan
RENT,30000,12000,Good Loan
OWN,22887,9400,Good Loan
MORTGAGE,63919,12000,Good Loan
MORTGAGE,38000,6000,Good Loan
RENT,45000,10000,Good Loan
OWN,28080,3000,Good Loan
MORTGAGE,185000,29275,Good Loan
MORTGAGE,125000,35000,Bad Loan
MORTGAGE,80000,15600,Bad Loan
RENT,21600,10000,Good Loan
MORTGAGE,36000,6000,Good Loan
OWN,37500,4725,Good Loan
RENT,8400,2000,Good Loan
MORTGAGE,42000,5400,Good Loan
RENT,70000,16000,Bad Loan
MORTGAGE,36538,2500,Good Loan
RENT,95000,24800,Good Loan
MORTGAGE,90000,15000,Good Loan
MORTGAGE,54000,15750,Good Loan
OWN,42000,4800,Good Loan
RENT,70000,16000,Good Loan
MORTGAGE,62000,24000,Good Loan
RENT,180000,15000,Good Loan
RENT,65000,28000,Good Loan
OWN,30000,6000,Good Loan
RENT,32000,8000,Good Loan
MORTGAGE,234000,20000,Good Loan
MORTGAGE,60000,3000,Good Loan
MORTGAGE,84000,20000,Bad Loan
RENT,50000,16000,Good Loan
RENT,24000,2000,Bad Loan
MORTGAGE,75000,10000,Good Loan
MORTGAGE,48000,12000,Good Loan
OWN,204000,35000,Good Loan
MORTGAGE,250000,35000,Good Loan
MORTGAGE,66362,25000,Bad Loan
RENT,82000,35000,Bad Loan
MORTGAGE,94000,17100,Good Loan
RENT,179000,20000,Good Loan
MORTGAGE,65000,12000,Good Loan
MORTGAGE,40000,10000,Good Loan
MORTGAGE,48000,20000,Good Loan
RENT,48000,4500,Good Loan
MORTGAGE,81100,3200,Good Loan
RENT,37947,14000,Good Loan
MORTGAGE,120000,21000,Good Loan
RENT,70000,20000,Good Loan
OWN,300000,20000,Good Loan
MORTGAGE,86000,10800,Good Loan
RENT,32400,15875,Bad Loan
RENT,162000,14500,Good Loan
MORTGAGE,53808,15000,Good Loan
MORTGAGE,67200,15000,Good Loan
RENT,70000,16000,Good Loan
MORTGAGE,47500,12000,Good Loan
MORTGAGE,190000,4000,Good Loan
RENT,55000,28000,Good Loan
MORTGAGE,37980,3500,Good Loan
RENT,38000,12000,Good Loan
RENT,53000,6800,Good Loan
MORTGAGE,110000,35000,Good Loan
MORTGAGE,96000,10925,Good Loan
MORTGAGE,60000,8650,Good Loan
RENT,59000,3500,Good Loan
MORTGAGE,90000,35000,Good Loan
MORTGAGE,200000,15000,Good Loan
OWN,13200,4950,Good Loan
RENT,90000,10000,Bad Loan
RENT,66000,10000,Good Loan
RENT,33000,4800,Good Loan
MORTGAGE,78000,3200,Good Loan
MORTGAGE,50000,10575,Good Loan
MORTGAGE,34800,3000,Good Loan
RENT,19200,2850,Good Loan
MORTGAGE,195000,6000,Good Loan
MORTGAGE,67000,2500,Good Loan
MORTGAGE,133000,15000,Good Loan
RENT,74400,12500,Good Loan
RENT,72000,14000,Good Loan
RENT,40000,3700,Good Loan
RENT,18000,3000,Good Loan
MORTGAGE,70000,1800,Good Loan
RENT,35000,5000,Good Loan
RENT,88000,13600,Good Loan
MORTGAGE,87600,32875,Good Loan
RENT,78000,10000,Good Loan
RENT,84000,20000,Good Loan
MORTGAGE,72000,21100,Good Loan
RENT,42000,12000,Good Loan
MORTGAGE,133000,20000,Good Loan
OWN,85000,10000,Good Loan
MORTGAGE,106000,24000,Good Loan
RENT,50000,15000,Good Loan
RENT,38400,5000,Good Loan
RENT,40000,8000,Bad Loan
MORTGAGE,98000,16000,Good Loan
RENT,79000,21000,Good Loan
MORTGAGE,300000,4000,Good Loan
MORTGAGE,120000,4400,Good Loan
RENT,100000,12000,Bad Loan
MORTGAGE,57500,15000,Good Loan
RENT,50000,7000,Good Loan
RENT,19200,4000,Good Loan
MORTGAGE,29000,7750,Good Loan
MORTGAGE,55000,11500,Good Loan
MORTGAGE,45000,22750,Good Loan
RENT,85000,18000,Good Loan
MORTGAGE,39481,12000,Good Loan
RENT,30000,15000,Good Loan
RENT,300000,35000,Good Loan
MORTGAGE,75000,25000,Good Loan
RENT,84000,22000,Good Loan
RENT,86000,25600,Good Loan
MORTGAGE,54000,9000,Good Loan
MORTGAGE,90000,9500,Good Loan
RENT,78402,11200,Good Loan
MORTGAGE,60000,16000,Good Loan
RENT,45000,4000,Good Loan
RENT,30000,8000,Good Loan
MORTGAGE,45000,14000,Bad Loan
MORTGAGE,180000,6000,Good Loan
MORTGAGE,144000,16000,Good Loan
MORTGAGE,75000,21000,Good Loan
RENT,45000,10000,Good Loan
MORTGAGE,60000,12000,Good Loan
RENT,75000,17200,Good Loan
MORTGAGE,88000,12000,Good Loan
MORTGAGE,45000,18250,Bad Loan
RENT,43500,3000,Good Loan
MORTGAGE,22080,6700,Good Loan
MORTGAGE,91154,10000,Good Loan
MORTGAGE,48000,23500,Good Loan
MORTGAGE,47000,3000,Good Loan
MORTGAGE,180000,35000,Good Loan
MORTGAGE,118000,25000,Good Loan
RENT,120000,11050,Good Loan
OWN,46000,11200,Good Loan
MORTGAGE,71760,3000,Good Loan
RENT,75000,8000,Good Loan
RENT,53100,12000,Good Loan
MORTGAGE,110000,8000,Good Loan
MORTGAGE,40000,8000,Bad Loan
RENT,24000,6000,Good Loan
RENT,18000,8500,Good Loan
MORTGAGE,111240,14000,Good Loan
MORTGAGE,46000,18000,Good Loan
MORTGAGE,12960,3650,Good Loan
MORTGAGE,84000,22575,Bad Loan
MORTGAGE,102158,35000,Good Loan
RENT,75000,16000,Good Loan
